[2026-02-11T08:18:13.086+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-11T08:18:13.232+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T08:17:00+00:00 [queued]>
[2026-02-11T08:18:13.255+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T08:17:00+00:00 [queued]>
[2026-02-11T08:18:13.257+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-02-11T08:18:13.294+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-02-11 08:17:00+00:00
[2026-02-11T08:18:13.324+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=42145) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-02-11T08:18:13.327+0000] {standard_task_runner.py:64} INFO - Started process 42249 to run task
[2026-02-11T08:18:13.324+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-02-11T08:17:00+00:00', '--job-id', '1070', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpl6le4f7o']
[2026-02-11T08:18:13.330+0000] {standard_task_runner.py:91} INFO - Job 1070: Subtask download_minio
[2026-02-11T08:18:13.574+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-02-11T08:17:00+00:00 [running]> on host 6729b10e6876
[2026-02-11T08:18:14.039+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-02-11T08:17:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-02-11T08:17:00+00:00'
[2026-02-11T08:18:14.049+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-02-11T08:18:17.141+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795801.json
[2026-02-11T08:18:17.160+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795811.json
[2026-02-11T08:18:17.181+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795821.json
[2026-02-11T08:18:17.212+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795832.json
[2026-02-11T08:18:17.239+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795843.json
[2026-02-11T08:18:17.270+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795854.json
[2026-02-11T08:18:17.291+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795864.json
[2026-02-11T08:18:17.312+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795875.json
[2026-02-11T08:18:17.341+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795889.json
[2026-02-11T08:18:17.366+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795899.json
[2026-02-11T08:18:17.389+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795910.json
[2026-02-11T08:18:17.409+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795920.json
[2026-02-11T08:18:17.456+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795931.json
[2026-02-11T08:18:17.488+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795942.json
[2026-02-11T08:18:17.545+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795952.json
[2026-02-11T08:18:17.587+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795962.json
[2026-02-11T08:18:17.610+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795973.json
[2026-02-11T08:18:17.635+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795984.json
[2026-02-11T08:18:17.666+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770795995.json
[2026-02-11T08:18:17.701+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796006.json
[2026-02-11T08:18:17.725+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796016.json
[2026-02-11T08:18:17.751+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1770796027.json
