[2026-01-29T14:57:02.300+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-29T14:57:02.366+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:56:00+00:00 [queued]>
[2026-01-29T14:57:02.383+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:56:00+00:00 [queued]>
[2026-01-29T14:57:02.384+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-29T14:57:02.414+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2026-01-29 14:56:00+00:00
[2026-01-29T14:57:02.435+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=99017) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2026-01-29T14:57:02.437+0000] {standard_task_runner.py:64} INFO - Started process 99038 to run task
[2026-01-29T14:57:02.428+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2026-01-29T14:56:00+00:00', '--job-id', '387', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpdwv6nz21']
[2026-01-29T14:57:02.439+0000] {standard_task_runner.py:91} INFO - Job 387: Subtask download_minio
[2026-01-29T14:57:02.696+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2026-01-29T14:56:00+00:00 [running]> on host 035a00487d49
[2026-01-29T14:57:02.982+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2026-01-29T14:56:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-29T14:56:00+00:00'
[2026-01-29T14:57:02.989+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-29T14:57:03.415+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692353.json
[2026-01-29T14:57:03.425+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692366.json
[2026-01-29T14:57:03.434+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692380.json
[2026-01-29T14:57:03.444+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692392.json
[2026-01-29T14:57:03.452+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692403.json
[2026-01-29T14:57:03.461+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692416.json
[2026-01-29T14:57:03.470+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692432.json
[2026-01-29T14:57:03.481+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692444.json
[2026-01-29T14:57:03.490+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692457.json
[2026-01-29T14:57:03.499+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692469.json
[2026-01-29T14:57:03.510+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692482.json
[2026-01-29T14:57:03.520+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692495.json
[2026-01-29T14:57:03.529+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692508.json
[2026-01-29T14:57:03.539+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692521.json
[2026-01-29T14:57:03.548+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692535.json
[2026-01-29T14:57:03.557+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692548.json
[2026-01-29T14:57:03.566+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692560.json
[2026-01-29T14:57:03.575+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692573.json
[2026-01-29T14:57:03.584+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692584.json
[2026-01-29T14:57:03.594+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692602.json
[2026-01-29T14:57:03.603+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1769692623.json
